Reference:	"Mahjoub et al. (2012)"
DOI:	"doi:http://dx.doi.org/10.1016/j.icarus.2012.08.015"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (98:2)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/229"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1	1.53		0.0054		
0.99	1.53		0.0054		
0.98	1.53		0.0054		
0.97	1.53		0.0054		
0.96	1.53		0.0054		
0.95	1.53		0.0057		
0.94	1.53		0.0057		
0.93	1.53		0.0057		
0.92	1.53		0.0057		
0.91	1.53		0.0058		
0.9	1.53		0.0059		
0.89	1.53		0.0059		
0.88	1.53		0.006		
0.87	1.53		0.0062		
0.86	1.53		0.0062		
0.85	1.53		0.0065		
0.84	1.53		0.0065		
0.83	1.53		0.0066		
0.82	1.53		0.0067		
0.81	1.53		0.0067		
0.8	1.53		0.007		
0.79	1.53		0.0071		
0.78	1.53		0.0073		
0.77	1.53		0.0075		
0.76	1.53		0.0076		
0.75	1.53		0.0076		
0.74	1.53		0.0078		
0.73	1.53		0.008		
0.72	1.53		0.0081		
0.71	1.53		0.0084		
0.7	1.53		0.0086		
0.69	1.53		0.0091		
0.68	1.53		0.0093		
0.67	1.53		0.0095		
0.66	1.53		0.0097		
0.65	1.53		0.0098		
0.64	1.53		0.01		
0.63	1.54		0.01		
0.62	1.54		0.011		
0.61	1.54		0.011		
0.6	1.54		0.011		
0.59	1.54		0.012		
0.58	1.54		0.012		
0.57	1.55		0.012		
0.56	1.55		0.013		
0.55	1.55		0.014		
0.54	1.55		0.015		
0.53	1.56		0.016		
0.52	1.56		0.017		
0.51	1.57		0.018		
0.5	1.57		0.02		
0.49	1.57		0.022		
0.48	1.58		0.024		
0.47	1.59		0.026		
0.46	1.59		0.029		
0.45	1.6		0.033		
0.44	1.6		0.036		
0.43	1.61		0.04		
0.42	1.62		0.045		
0.41	1.62		0.05		
0.4	1.63		0.055		
0.39	1.63		0.061		
0.38	1.64		0.068		
0.37	1.64		0.073		
