Reference:	"Masterson and Khanna (1990)"
DOI:	"doi:https://doi.org/10.1016/0019-1035(90)90007-V"
Sample Type:	"Ice"
Composition:	"HCN (1)"
Temperature:	"60K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/238"
n₁ Error Units:	The random error in n values is typically less than 1%.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
800	1.568		0.0359		
818	1.777		0.1595		
824	1.917		0.4237		
827	1.851		0.7346		
830	1.486		0.9234		
832	1.242		0.8439		
847	0.95		0.2312		
850	0.983		0.1122		
864	1.201		0.0157		
1589	1.447		0.0165		
1602	1.471		0.0367		
1615	1.5		0.112		
1622	1.464		0.2039		
1627	1.358		0.2409		
1634	1.252		0.1349		
1637	1.256		0.089		
1650	1.314		0.0256		
2070	1.471		0.0044		
2084	1.567		0.0128		
2094	1.829		0.1067		
2097	2.126		0.4201		
2099	1.913		1.0484		
2100	1.578		1.157		
2101	1.289		1.1198		
2103	0.909		0.8761		
2104	0.795		0.7239		
2106	0.695		0.3769		
2107	0.74		0.2084		
2109	0.917		0.0455		
2111	1.039		0.0098		
2119	1.209		0.0006		
3050	1.533		0.0263		
3080	1.631		0.0519		
3115	1.884		0.4642		
3125	1.735		0.8181		
3135	1.268		0.9418		
3140	1.061		0.8523		
3145	0.912		0.7152		
3155	0.808		0.3749		
3165	0.92		0.1698		
3175	1		0.0966		
3200	1.133		0.0206		
