Reference:	"Hudgins et al. (1993)"
DOI:	"doi:https://doi.org/10.1086/191796"
Sample Type:	"Ice"
Composition:	"O2:CH4 (20:1)"
Temperature:	"30K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/149"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable
T₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"		"Wavenumber (cm⁻¹)"	"T₁"	"DT₁  (+/-)"	
1000.2	1.2504		0			1000.2	100		
1001.1	1.2504		0			1000.6	100		
1002.1	1.2504		0			1001.1	100		
1003.1	1.2504		0			1001.6	100		
1004	1.2504		0			1002.1	100		
1005	1.2505		0			1002.6	100		
1006	1.2505		0			1003.1	100		
1006.9	1.2505		0			1003.5	100		
1007.9	1.2505		0			1004	100		
1008.8	1.2505		0			1004.5	100		
1009.8	1.2505		0			1005	100		
1010.8	1.2505		0			1005.5	100		
1011.7	1.2505		0			1006	100		
1012.7	1.2505		0			1006.4	100		
1013.7	1.2505		0			1006.9	100		
1014.6	1.2505		0			1007.4	100		
1015.6	1.2505		0			1007.9	100		
1016.6	1.2505		0			1008.4	100		
1017.5	1.2505		0			1008.8	100		
1018.5	1.2505		0			1009.3	100		
1019.5	1.2505		0			1009.8	100		
1020.4	1.2505		0			1010.3	100		
1021.4	1.2505		0			1010.8	100		
1022.3	1.2505		0			1011.3	100		
1023.3	1.2505		0			1011.7	100		
1024.3	1.2505		0			1012.2	100		
1025.2	1.2505		0			1012.7	100		
1026.2	1.2505		0			1013.2	100		
1027.2	1.2505		0			1013.7	100		
1028.1	1.2505		0			1014.1	100		
1029.1	1.2505		0			1014.6	100		
1030.1	1.2505		0			1015.1	100		
1031	1.2505		0			1015.6	100		
1032	1.2505		0			1016.1	100		
1033	1.2505		0			1016.6	100		
1033.9	1.2505		0			1017	100		
1034.9	1.2505		0			1017.5	100		
1035.8	1.2505		0			1018	100		
1036.8	1.2505		0			1018.5	100		
1037.8	1.2505		0			1019	100		
1038.7	1.2505		0			1019.5	100		
1039.7	1.2505		0			1019.9	100		
1040.7	1.2505		0			1020.4	100		
1041.6	1.2505		0			1020.9	100		
1042.6	1.2505		0			1021.4	100		
1043.6	1.2505		0			1021.9	100		
1044.5	1.2505		0			1022.3	100		
1045.5	1.2505		0			1022.8	100		
1046.5	1.2505		0			1023.3	100		
1047.4	1.2505		0			1023.8	100		
1048.4	1.2505		0			1024.3	100		
1049.4	1.2505		0			1024.8	100		
1050.3	1.2505		0			1025.2	100		
1051.3	1.2505		0			1025.7	100		
1052.2	1.2505		0			1026.2	100		
1053.2	1.2505		0			1026.7	100		
1054.2	1.2505		0			1027.2	100		
1055.1	1.2505		0			1027.7	100		
1056.1	1.2505		0			1028.1	100		
1057.1	1.2505		0			1028.6	100		
1058	1.2505		0			1029.1	100		
1059	1.2505		0			1029.6	100		
1060	1.2505		0			1030.1	100		
1060.9	1.2505		0			1030.5	100		
1061.9	1.2505		0			1031	100		
1062.9	1.2505		0			1031.5	100		
1063.8	1.2506		0			1032	100		
1064.8	1.2506		0			1032.5	100		
1065.7	1.2506		0			1033	100		
1066.7	1.2506		0			1033.4	100		
1067.7	1.2506		0			1033.9	100		
1068.6	1.2506		0			1034.4	100		
1069.6	1.2506		0			1034.9	100		
1070.6	1.2506		0			1035.4	100		
1071.5	1.2506		0			1035.8	100		
1072.5	1.2506		0			1036.3	100		
1073.5	1.2506		0			1036.8	100		
1074.4	1.2506		0			1037.3	100		
1075.4	1.2506		0			1037.8	100		
1076.4	1.2506		0			1038.3	100		
1077.3	1.2506		0			1038.7	100		
1078.3	1.2506		0			1039.2	100		
1079.3	1.2506		0			1039.7	100		
1080.2	1.2506		0			1040.2	100		
1081.2	1.2506		0			1040.7	100		
1082.1	1.2506		0			1041.2	100		
1083.1	1.2506		0			1041.6	100		
1084.1	1.2506		0			1042.1	100		
1085	1.2506		0			1042.6	100		
1086	1.2506		0			1043.1	100		
1087	1.2506		0			1043.6	100		
1087.9	1.2506		0			1044	100		
1088.9	1.2506		0			1044.5	100		
1089.9	1.2506		0			1045	100		
1090.8	1.2506		0			1045.5	100		
1091.8	1.2506		0			1046	100		
1092.8	1.2506		0			1046.5	100		
1093.7	1.2506		0			1046.9	100		
1094.7	1.2506		0			1047.4	100		
1095.6	1.2506		0			1047.9	100		
1096.6	1.2506		0			1048.4	100		
1097.6	1.2507		0			1048.9	100		
1098.5	1.2507		0			1049.4	100		
1099.5	1.2507		0			1049.8	100		
1100.5	1.2506		0.000188			1050.3	100		
1101	1.2505		0.000203			1050.8	100		
1101.4	1.2505		0			1051.3	100		
1101.9	1.2505		0			1051.8	100		
1102.4	1.2506		0			1052.2	100		
1102.9	1.2506		1.0E-6			1052.7	100		
1103.4	1.2506		1.3E-5			1053.2	100		
1103.8	1.2506		2.5E-5			1053.7	100		
1104.3	1.2506		3.8E-5			1054.2	100		
1104.8	1.2506		5.0E-5			1054.7	100		
1105.3	1.2506		6.2E-5			1055.1	100		
1105.8	1.2506		7.7E-5			1055.6	100		
1106.3	1.2506		8.9E-5			1056.1	100		
1106.7	1.2505		0.000103			1056.6	100		
1107.2	1.2504		0.000119			1057.1	100		
1107.7	1.2504		0			1057.6	100		
1108.2	1.2505		0			1058	100		
1108.7	1.2506		0			1058.5	100		
1109.1	1.2506		0			1059	100		
1109.6	1.2506		0			1059.5	100		
1110.1	1.2506		0			1060	100		
1110.6	1.2506		0			1060.4	100		
1111.1	1.2506		0			1060.9	100		
1111.6	1.2506		0			1061.4	100		
1112	1.2506		8.0E-6			1061.9	100		
1112.5	1.2506		2.5E-5			1062.4	100		
1113	1.2506		3.9E-5			1062.9	100		
1113.5	1.2506		5.4E-5			1063.3	100		
1114	1.2506		6.9E-5			1063.8	100		
1114.5	1.2506		8.7E-5			1064.3	100		
1114.9	1.2505		0.000103			1064.8	100		
1115.4	1.2505		0			1065.3	100		
1115.9	1.2506		0			1065.7	100		
1116.4	1.2506		0			1066.2	100		
1116.9	1.2506		0			1066.7	100		
1117.3	1.2506		0			1067.2	100		
1117.8	1.2506		0			1067.7	100		
1118.3	1.2506		0			1068.2	100		
1118.8	1.2506		0			1068.6	100		
1119.3	1.2506		0			1069.1	100		
1119.8	1.2506		1.7E-5			1069.6	100		
1120.2	1.2506		3.5E-5			1070.1	100		
1120.7	1.2506		5.2E-5			1070.6	100		
1121.2	1.2505		7.1E-5			1071.1	100		
1121.7	1.2505		0			1071.5	100		
1122.2	1.2506		0			1072	100		
1122.7	1.2506		0			1072.5	100		
1123.1	1.2506		0			1073	100		
1123.6	1.2506		0			1073.5	100		
1124.1	1.2506		0			1073.9	100		
1124.6	1.2506		0			1074.4	100		
1125.1	1.2506		0			1074.9	100		
1125.5	1.2506		0			1075.4	100		
1126	1.2505		5.0E-6			1075.9	100		
