Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"CH3C3N (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/29"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
80	1.723			80	0.0291		
81	1.771			81	0.0746		
82	1.792			82	0.131		
83	1.79			83	0.18		
84	1.777			84	0.217		
85	1.759			85	0.245		
90	1.671			90	0.314		
91	1.656			91	0.323		
92	1.639			92	0.331		
93	1.62			93	0.333		
94	1.606			94	0.328		
95	1.598			95	0.324		
96	1.595			96	0.325		
97	1.588			97	0.332		
98	1.576			98	0.339		
99	1.56			99	0.338		
100	1.55			100	0.329		
105	1.587			105	0.373		
106	1.577			106	0.409		
107	1.551			107	0.444		
108	1.513			108	0.47		
109	1.466			109	0.481		
110	1.421			110	0.478		
111	1.384			111	0.464		
112	1.357			112	0.448		
113	1.335			113	0.434		
114	1.313			114	0.425		
115	1.285			115	0.415		
120	1.201			120	0.266		
125	1.222			125	0.18		
130	1.261			130	0.129		
131	1.263			131	0.127		
132	1.263			132	0.123		
133	1.262			133	0.116		
134	1.263			134	0.107		
135	1.264			135	0.0992		
140	1.284			140	0.055		
145	1.318			145	0.0393		
146	1.323			146	0.0391		
147	1.327			147	0.0399		
148	1.329			148	0.0409		
149	1.328			149	0.0406		
150	1.327			150	0.038		
155	1.345			155	0.0126		
160	1.37			160	0.00986		
170	1.4			170	0.0265		
175	1.4			175	0.0345		
176	1.4			176	0.0369		
177	1.398			177	0.0394		
178	1.396			178	0.0413		
179	1.394			179	0.0424		
180	1.391			180	0.0432		
181	1.388			181	0.0436		
182	1.385			182	0.0433		
183	1.381			183	0.042		
184	1.377			184	0.0395		
185	1.374			185	0.0361		
190	1.373			190	0.00923		
340	1.521			340	0.00548		
345	1.61			345	0.0165		
350	1.649			350	0.283		
351	1.58			351	0.368		
352	1.464			352	0.418		
353	1.332			353	0.399		
354	1.232			354	0.317		
355	1.189			355	0.211		
356	1.197			356	0.118		
357	1.232			357	0.0557		
358	1.274			358	0.0227		
359	1.31			359	0.00984		
360	1.336			360	0.00786		
365	1.371			365	0.0182		
370	1.39			370	0.00386		
375	1.406			375	0.00139		
495	1.491			495	0.0063		
500	1.602			500	0.0244		
501	1.671			501	0.0462		
502	1.746			502	0.156		
503	1.742			503	0.276		
504	1.737			504	0.497		
505	1.46			505	0.66		
506	1.198			506	0.624		
507	0.951			507	0.421		
508	0.978			508	0.142		
509	1.094			509	0.036		
510	1.174			510	0.00161		
